fullName,parkCode,state,description
Oregon Caves National Monument & Preserve,orca,OR,"Deep within the Siskiyou Mountains are dark, twisting passages that await your discovery. Eons of acidic water seeping into marble rock created and decorated the wondrous “Marble Halls of Oregon.” Join a tour, get a taste of what caving is all about, and explore a mountain from the inside and out!"
Oregon National Historic Trail,oreg,"ID,KS,MO,NE,OR,WA,WY","Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers."
Organ Pipe Cactus National Monument,orpi,AZ,"Look closely. Look again. The sights and sounds of Organ Pipe Cactus National Monument, an International Biosphere Reserve, reveal a thriving community of plants and animals. Human stories echo throughout the Sonoran Desert, chronicling thousands of years of desert living. A wilderness hike, a scenic drive, or a night of camping will expose you to a living desert abounding with hidden life."
Overmountain Victory National Historic Trail,ovvi,"NC,SC,TN,VA","Stretching 330-miles through four states (Virginia, Tennessee, North and South Carolina) the Overmountain Victory National Historic Trail traces the route used by Patriot militia during the pivotal Kings Mountain campaign of 1780. Follow the campaign by utilizing a Commemorative Motor Route which uses existing state highways marked with the distinctive trail logo, or 87 miles of walkable trails."
Oxon Cove Park & Oxon Hill Farm,oxhi,MD,"The diverse history of Maryland and our national heritage can be experienced at Oxon Cove Park. Through hands-on programs and other activities, you can experience farm life and how its changed over time. Explore how the park evolved from a plantation home during the War of 1812, to a hospital farm, to the park you can visit today."
Ozark National Scenic Riverways,ozar,MO,"Ozark National Scenic Riverways is the first national park area to protect a river system. The Current and Jacks Fork rivers are two of the finest floating rivers found anywhere. Spring-fed, cold and clear: they are a delight to canoe, swim, boat, or fish. Besides these two famous rivers, the park is home to hundreds of freshwater springs, caves, trails, and historic sites such as Alley Mill."
Padre Island National Seashore,pais,TX,"Protecting sixty-six miles of wild coastline along the Gulf of Mexico, the narrow barrier island is home to one of the last intact coastal prairie habitats in the United States. Along the hypersaline Laguna Madre, unique tidal mud flats teem with life. Native Americans, Spanish explorers and cattle ranchers have walked along its shores. Padre Island National Seashore is waiting to be rediscovered."
Palo Alto Battlefield National Historical Park,paal,TX,"On May 8, 1846, U.S. and Mexican troops clashed on the prairie of Palo Alto. The battle was the first in a two-year long war that changed the map of North America. Although the two countries have developed strong bonds and friendly ties since the war ended in 1848, these neighbors continue to contend with the legacy of the war."
Paterson Great Falls National Historical Park,pagr,NJ,"Silk cloth and steam locomotives; textiles and continuous paper rolls; firearms and aircraft engines. What do these things have in common? All were manufactured in the same place - Paterson, NJ. In 1792, Paterson was established as America's first planned industrial city, centered around the Great Falls of the Passaic River. From humble mills rose industries that changed the face of the nation."
Pea Ridge National Military Park,peri,AR,"On March 7-8, 1862, over 23,000 soldiers fought here to decide the fate of Missouri which was a turning point of the war in the Trans-Mississippi. This 4,300-acre battlefield honors those who fought and died on these hallowed grounds. Pea Ridge was the most pivotal Civil War battle west of the Mississippi River."
Pearl Harbor National Memorial,valr,HI,"At the Pearl Harbor National Memorial, learn about one of the most pivotal moments in US history: the attack on Pearl Harbor, and the subsequent entry of the United States into World War II."
Pecos National Historical Park,peco,NM,"Pecos is a natural and cultural crossroads through which hunters, gatherers, traders, missionaries, immigrants, soldiers, ranchers, and other travelers passed and lived. Follow in their footsteps and imagine Pecos through the centuries. Visit sites where cultural demonstrations and traditional practices continue today - a living legacy of the people who passed this way. At Pecos, past is present."
Pennsylvania Avenue,paav,DC,"A street unlike any other. It is known the world over as the heart of the Nation's Capital. America's history has marched, paraded, promenaded, and protested its way along the Avenue."
Perry's Victory & International Peace Memorial,pevi,OH,"Perry's Victory and International Peace Memorial was established to honor those who fought in the Battle of Lake Erie, during the War of 1812, and to celebrate the long-lasting peace among Great Britain, Canada and the U.S. The Memorial, a Doric column, rising 352 feet over Lake Erie is situated 5 miles from the longest undefended border in the world."
